Number of available PCIs (1 to 100),eNB: 10 (gNB: 60),eNB: 20 (gNB: 120),eNB: 30 (gNB: 180),eNB: 40 (gNB: 240),eNB: 50 (gNB: 300),eNB: 60 (gNB: 360),eNB: 70 (gNB: 420),eNB: 80 (gNB: 480),eNB: 90 (gNB: 540),eNB: 100 (gNB: 600)
24,0.47,0.97,1.19,1.32,1.51,1.62,1.68,1.93,1.94,1.9
25,0.52,1.04,1.22,1.39,1.42,1.51,1.69,1.69,1.78,1.8
26,0.54,0.97,1.19,1.31,1.48,1.59,1.56,1.67,1.81,1.87
27,0.51,0.88,1.09,1.31,1.32,1.5,1.61,1.59,1.82,1.82
28,0.44,0.89,1.21,1.23,1.42,1.45,1.54,1.44,1.52,1.74
29,0.47,0.73,1.17,1.23,1.35,1.4,1.43,1.54,1.53,1.8
30,0.51,0.88,1.14,1.28,1.38,1.37,1.49,1.5,1.76,1.59
31,0.48,0.82,1.11,1.26,1.22,1.35,1.52,1.56,1.75,1.66
32,0.53,0.94,1.15,1.23,1.38,1.48,1.52,1.6,1.66,1.59
33,0.49,0.9,1.13,1.32,1.36,1.45,1.53,1.54,1.57,1.68
34,0.61,1,1.14,1.25,1.4,1.51,1.5,1.66,1.69,1.65
35,0.57,0.98,0.99,1.25,1.33,1.43,1.49,1.63,1.69,1.65
36,0.52,0.88,1.07,1.31,1.34,1.41,1.52,1.62,1.59,1.73
37,0.62,0.99,1.19,1.41,1.44,1.55,1.58,1.66,1.68,1.79
38,0.5,0.93,1.11,1.33,1.4,1.53,1.58,1.67,1.82,1.8
39,0.51,0.88,1.17,1.28,1.33,1.47,1.63,1.58,1.73,1.66
40,0.46,0.85,1.33,1.31,1.4,1.48,1.62,1.66,1.68,1.74
41,0.56,0.87,1.17,1.25,1.42,1.54,1.6,1.66,1.67,1.66
42,0.61,0.98,1.19,1.36,1.5,1.41,1.52,1.64,1.64,1.78
43,0.59,0.9,1.18,1.39,1.48,1.5,1.45,1.62,1.68,1.78
44,0.44,0.94,1.28,1.31,1.43,1.51,1.63,1.65,1.58,1.72
45,0.65,0.99,1.17,1.31,1.48,1.52,1.56,1.52,1.67,1.77
46,0.52,0.99,1.24,1.38,1.42,1.57,1.6,1.71,1.68,1.77
47,0.47,0.98,1.21,1.29,1.28,1.52,1.57,1.7,1.69,1.85
48,0.49,0.88,1.17,1.35,1.32,1.46,1.62,1.59,1.64,1.76
49,0.55,0.99,1.17,1.36,1.44,1.51,1.55,1.57,1.65,1.76
50,0.68,0.89,1.03,1.34,1.45,1.49,1.57,1.62,1.79,1.79
51,0.62,0.86,1.06,1.27,1.4,1.45,1.5,1.61,1.76,1.76
52,0.53,0.86,1.11,1.34,1.36,1.4,1.6,1.6,1.68,1.62
53,0.54,0.96,1.09,1.26,1.39,1.51,1.58,1.58,1.66,1.61
54,0.52,1,1.07,1.34,1.34,1.43,1.32,1.6,1.67,1.78
55,0.51,1,1.1,1.31,1.25,1.41,1.46,1.6,1.76,1.6
56,0.49,0.85,1.15,1.32,1.35,1.41,1.58,1.42,1.62,1.73
57,0.47,0.91,1.06,1.26,1.33,1.47,1.53,1.64,1.63,1.58
58,0.47,0.99,1.21,1.19,1.3,1.38,1.43,1.58,1.64,1.74
59,0.49,0.87,1.06,1.3,1.33,1.31,1.44,1.58,1.73,1.6
60,0.46,0.89,0.99,1.31,1.32,1.39,1.49,1.5,1.5,1.67
61,0.6,0.88,1.18,1.33,1.39,1.52,1.48,1.56,1.63,1.64
62,0.43,0.86,1.14,1.42,1.33,1.29,1.47,1.43,1.6,1.73
63,0.58,0.77,1.06,1.32,1.34,1.49,1.49,1.55,1.61,1.72
64,0.53,0.82,1.1,1.3,1.28,1.42,1.48,1.46,1.71,1.72
65,0.46,0.89,1.24,1.16,1.36,1.45,1.5,1.49,1.69,1.66
66,0.48,0.88,1.14,1.12,1.37,1.41,1.51,1.6,1.57,1.75
67,0.55,0.9,1.13,1.24,1.29,1.47,1.6,1.59,1.6,1.69
68,0.46,0.93,1.11,1.23,1.38,1.4,1.66,1.62,1.61,1.62
69,0.42,0.99,1.15,1.19,1.32,1.38,1.54,1.59,1.64,1.74
70,0.49,0.96,1.2,1.24,1.34,1.36,1.66,1.46,1.62,1.69
71,0.47,0.87,1.11,1.24,1.34,1.41,1.5,1.63,1.57,1.63
72,0.64,0.91,1.06,1.29,1.31,1.44,1.52,1.61,1.6,1.69
73,0.57,0.9,1.02,1.31,1.35,1.34,1.59,1.57,1.62,1.75
74,0.59,0.91,1.08,1.19,1.38,1.32,1.55,1.61,1.67,1.69
75,0.62,0.94,1.18,1.24,1.3,1.41,1.4,1.66,1.72,1.72
76,0.45,0.92,1,1.24,1.43,1.45,1.53,1.58,1.57,1.79
77,0.41,0.77,1.06,1.21,1.33,1.4,1.51,1.54,1.6,1.69
78,0.59,0.87,1.2,1.21,1.41,1.4,1.47,1.6,1.67,1.63
79,0.46,0.82,1.13,1.19,1.49,1.5,1.56,1.56,1.68,1.64
80,0.64,0.9,1.13,1.24,1.35,1.48,1.47,1.6,1.54,1.65
81,0.59,1,1.14,1.25,1.36,1.51,1.57,1.47,1.53,1.63
82,0.55,0.93,1.06,1.23,1.3,1.6,1.52,1.55,1.52,1.72
83,0.45,1,1.14,1.27,1.47,1.38,1.55,1.61,1.56,1.63
84,0.59,0.94,1.15,1.29,1.32,1.45,1.45,1.57,1.52,1.64
85,0.49,0.85,1.1,1.26,1.39,1.39,1.38,1.64,1.65,1.79
86,0.52,0.84,1.17,1.23,1.3,1.48,1.45,1.52,1.57,1.67
87,0.41,0.98,1.07,1.23,1.38,1.51,1.46,1.47,1.5,1.68
88,0.54,0.83,1.06,1.25,1.22,1.42,1.51,1.54,1.56,1.66
89,0.42,0.87,1.12,1.15,1.28,1.46,1.39,1.57,1.68,1.59
90,0.55,0.8,1.08,1.24,1.31,1.39,1.42,1.47,1.48,1.56
91,0.36,0.85,1.12,1.32,1.21,1.4,1.38,1.64,1.65,1.65
92,0.42,0.96,1.17,1.3,1.37,1.4,1.54,1.65,1.47,1.72
93,0.53,0.92,1.1,1.26,1.29,1.46,1.54,1.67,1.57,1.56
94,0.61,0.85,1.05,1.18,1.43,1.3,1.5,1.62,1.57,1.58
95,0.49,0.88,1.16,1.26,1.38,1.35,1.57,1.4,1.57,1.63
96,0.6,1,1.15,1.21,1.3,1.4,1.54,1.64,1.56,1.67
97,0.46,0.77,1.22,1.22,1.38,1.36,1.51,1.49,1.63,1.66
98,0.46,0.83,1.06,1.24,1.34,1.47,1.51,1.61,1.61,1.58
99,0.47,0.98,1.09,1.21,1.27,1.42,1.5,1.62,1.66,1.73
100,0.48,0.93,1.04,1.28,1.36,1.34,1.58,1.64,1.71,1.61
