Number of available PCIs (1 to 100),gNB: 60 (eNB: 10),gNB: 120 (eNB: 20),gNB: 180 (eNB: 30),gNB: 240 (eNB: 40),gNB: 300 (eNB: 50),gNB: 360 (eNB: 60),gNB: 420 (eNB: 70),gNB: 480 (eNB: 80),gNB: 540 (eNB: 90),gNB: 600 (eNB: 100)
24,1.2,1.46,1.72,1.88,1.97,2.04,2.19,2.28,2.21,2.23
25,1.08,1.44,1.59,1.91,1.91,2.16,2.07,2.07,2.13,2.27
26,1.09,1.54,1.61,1.83,1.9,1.92,2.06,2.15,2.09,2.18
27,1.03,1.38,1.64,1.76,1.85,1.97,2.01,2.02,2.13,2.22
28,1.1,1.41,1.43,1.7,1.78,1.98,2,2.09,2.1,2.11
29,1.02,1.36,1.57,1.69,1.8,1.75,1.99,2,2.15,2.16
30,0.98,1.28,1.54,1.72,1.79,1.79,1.95,2.07,2.03,2.08
31,1,1.2,1.55,1.64,1.81,1.85,2.02,2,2.13,2.2
32,1.09,1.45,1.67,1.78,1.91,2.04,2,2.07,2.19,2.21
33,1.18,1.46,1.66,1.79,2.01,1.96,2.05,2.12,2.2,2.19
34,1.14,1.46,1.79,1.8,1.96,2.17,2.23,2.13,2.33,2.36
35,1.09,1.48,1.68,1.96,1.99,2.12,2.27,2.19,2.27,2.35
36,1.19,1.55,1.7,1.85,2.02,2.02,2.09,2.24,2.27,2.27
37,1.26,1.54,1.81,2,2.03,2.08,2.08,2.37,2.31,2.35
38,1.14,1.58,1.77,1.85,2.04,2.17,2.22,2.21,2.33,2.46
39,1.19,1.44,1.83,1.92,2.08,2.15,2.22,2.31,2.3,2.39
40,1.27,1.57,1.76,1.89,2.08,2.12,2.23,2.31,2.26,2.43
41,1.23,1.44,1.66,2.02,2.06,2.13,2.37,2.29,2.34,2.49
42,1.23,1.53,1.85,1.86,1.88,2.19,2.36,2.3,2.3,2.33
43,1.32,1.54,1.67,1.86,2.02,2.24,2.29,2.3,2.3,2.46
44,1.21,1.58,1.9,1.92,2.08,2.2,2.21,2.4,2.25,2.38
45,1.22,1.49,1.81,1.86,2.09,2.17,2.22,2.21,2.3,2.46
46,1.24,1.53,1.8,1.93,2.08,2.11,2.33,2.32,2.43,2.29
47,1.3,1.72,1.9,1.98,2,2.17,2.17,2.44,2.26,2.48
48,1.27,1.61,1.67,1.78,2.05,2.21,2.25,2.31,2.36,2.47
49,1.16,1.42,1.77,2.08,2.02,2.12,2.11,2.29,2.36,2.46
50,1.23,1.56,1.79,1.94,2.1,2.24,2.14,2.2,2.23,2.36
51,1.18,1.45,1.8,1.92,2.08,2.17,2.21,2.21,2.42,2.24
52,1.25,1.42,1.79,1.93,1.97,2.15,2.19,2.32,2.36,2.42
53,1.19,1.47,1.81,1.96,2.12,2.15,2.34,2.26,2.27,2.36
54,1.3,1.52,1.75,1.78,1.99,2.15,2.13,2.37,2.32,2.43
55,1.29,1.55,1.75,1.87,1.95,2.13,2.28,2.27,2.33,2.43
56,1.16,1.46,1.83,1.9,2.16,2.07,2.13,2.22,2.43,2.36
57,1.17,1.63,1.79,1.83,2.07,2.01,2.09,2.18,2.22,2.33
58,1.16,1.52,1.69,1.9,1.89,2.03,2.2,2.22,2.26,2.15
59,1.17,1.59,1.88,1.66,1.96,2.1,2.23,2.23,2.29,2.31
60,1.15,1.43,1.67,1.88,2.04,2.09,2.18,2.28,2.2,2.34
61,1.21,1.42,1.77,1.82,2.05,2.17,2.19,2.23,2.14,2.27
62,1.11,1.54,1.81,1.84,1.96,2.06,2.26,2.14,2.19,2.24
63,1.14,1.54,1.64,1.84,1.99,2.16,2.18,2.38,2.41,2.23
64,1.19,1.51,1.77,1.99,2.05,2.17,2.19,2.15,2.22,2.3
65,1.26,1.62,1.68,1.93,1.96,2.1,2.15,2.22,2.32,2.35
66,1.29,1.57,1.75,1.99,2.08,2.13,2.23,2.31,2.29,2.28
67,1.24,1.54,1.61,2,1.96,2.19,2.22,2.24,2.3,2.4
68,1.26,1.56,1.73,1.84,2.07,2.18,2.3,2.22,2.39,2.37
69,1.3,1.53,1.74,1.98,1.92,2.16,2.25,2.3,2.34,2.33
70,1.26,1.72,1.77,2,2.07,2.08,2.22,2.25,2.33,2.41
71,1.21,1.59,1.84,2.06,2.06,2.16,2.35,2.26,2.3,2.41
72,1.26,1.59,1.8,2.01,2.06,2.07,2.23,2.39,2.29,2.38
73,1.21,1.51,1.8,1.99,2.03,2.24,2.2,2.24,2.3,2.42
74,1.15,1.48,2.05,1.92,2.13,2.16,2.2,2.44,2.37,2.4
75,1.28,1.56,1.68,1.91,2.15,2.02,2.31,2.33,2.3,2.36
76,1.22,1.55,1.8,2,2.19,2.23,2.16,2.41,2.36,2.4
77,1.19,1.54,1.7,1.97,2.05,2.17,2.24,2.22,2.32,2.34
78,1.19,1.54,1.88,1.86,2.1,2.13,2.18,2.29,2.31,2.48
79,1.15,1.59,1.89,1.88,2.05,2.12,2.14,2.25,2.39,2.47
80,1.21,1.54,1.71,2.02,2.09,2.11,2.26,2.26,2.41,2.52
81,1.24,1.57,1.74,2.07,2.03,2.17,2.27,2.28,2.28,2.43
82,1.18,1.66,1.81,1.89,2.14,2.12,2.24,2.23,2.27,2.34
83,1.33,1.5,1.69,1.92,2.17,2.13,2.17,2.2,2.29,2.47
84,1.3,1.48,1.8,1.92,2.07,2.11,2.2,2.32,2.36,2.37
85,1.28,1.65,1.76,1.91,2.05,2.28,2.16,2.35,2.36,2.31
86,1.15,1.66,1.86,1.94,2.01,2.11,2.18,2.32,2.35,2.44
87,1.38,1.56,1.87,1.88,2.07,2.17,2.16,2.32,2.29,2.41
88,1.4,1.58,1.78,2.03,1.97,2.1,2.2,2.22,2.35,2.36
89,1.18,1.67,1.84,1.91,2.15,2.18,2.34,2.27,2.33,2.43
90,1.18,1.59,1.8,1.94,2.05,2.19,2.2,2.22,2.28,2.24
91,1.25,1.58,1.76,1.94,2.06,2.21,2.21,2.22,2.29,2.31
92,1.27,1.6,1.75,1.92,2.12,2.15,2.29,2.34,2.46,2.26
93,1.25,1.54,1.7,1.93,2.15,2.16,2.18,2.25,2.27,2.34
94,1.26,1.41,1.82,1.87,1.99,2.09,2.23,2.32,2.39,2.47
95,1.26,1.56,1.79,1.95,2.08,2.15,2.28,2.37,2.26,2.3
96,1.24,1.57,1.68,1.85,2.05,2.13,2.2,2.3,2.37,2.45
97,1.21,1.43,1.79,1.85,2.05,2.14,2.19,2.28,2.42,2.34
98,1.26,1.63,1.75,1.94,2.1,2.11,2.19,2.47,2.42,2.44
99,1.35,1.63,1.76,1.95,2.09,2.37,2.18,2.37,2.36,2.36
100,1.34,1.62,1.81,1.97,2.18,2.12,2.24,2.36,2.28,2.32
