,Loss,Power,Delay
158,1.125283003,97.491,1.268076569
159,1.120013475,97.492,1.268021873
160,1.114673138,97.493,1.269042286
161,1.109303832,97.494,1.269495903
162,1.103821278,97.495,1.269431576
163,1.098287106,97.496,1.269538382
164,1.09262085,97.497,1.269474438
165,1.086895227,97.498,1.269914882
166,1.0810467,97.499,1.269848998
167,1.075150251,97.5,1.269784027
168,1.069253922,97.501,1.269259981
169,1.063370705,97.502,1.269689057
170,1.057435036,97.503,1.270111935
171,1.051454902,97.504,1.270046752
172,1.045468092,97.505,1.270104628
173,1.039436936,97.505,1.270040075
174,1.033304095,97.506,1.270439324
175,1.027183652,97.507,1.270845185
176,1.021084547,97.508,1.269915665
177,1.01501894,97.509,1.270817738
178,1.00896728,97.51,1.272237155
179,1.002902269,97.511,1.272160482
180,0.996855438,97.512,1.27222575
181,0.990761817,97.513,1.272605895
182,0.984645188,97.513,1.272091418
183,0.978581846,97.514,1.272146317
184,0.97253716,97.515,1.271651603
185,0.966517031,97.516,1.271580942
186,0.960459292,97.516,1.27293977
187,0.954411805,97.517,1.273302844
188,0.948352635,97.518,1.272813308
189,0.942269027,97.519,1.272866635
190,0.936162829,97.52,1.273691957
191,0.930071354,97.52,1.274506696
192,0.923998475,97.521,1.275311055
193,0.917888999,97.522,1.276594935
194,0.911779165,97.523,1.276496675
195,0.905691147,97.524,1.277757108
196,0.899621248,97.525,1.27688213
197,0.893601,97.526,1.278124604
198,0.887578726,97.527,1.27531899
199,0.881547451,97.528,1.276555878
200,0.875522017,97.529,1.276078945
201,0.86947006,97.529,1.275607713
202,0.863397002,97.53,1.275508459
203,0.857346416,97.531,1.27582365
204,0.851304889,97.531,1.276135092
205,0.845277667,97.532,1.276045523
206,0.839243233,97.533,1.276351983
207,0.833225906,97.534,1.276644433
208,0.827234864,97.534,1.276553383
209,0.821260929,97.535,1.276639324
210,0.815324306,97.536,1.277352828
211,0.809402525,97.537,1.277644907
212,0.803468108,97.537,1.277933649
213,0.797565877,97.538,1.27821911
214,0.791642547,97.539,1.278283948
215,0.785758495,97.539,1.278972309
216,0.779919326,97.54,1.278871442
217,0.774118483,97.541,1.278944374
218,0.768336773,97.541,1.278844324
219,0.762612998,97.542,1.278396717
220,0.756935179,97.542,1.278300715
221,0.75129813,97.543,1.277860905
222,0.74569273,97.543,1.278136041
223,0.740135491,97.544,1.278389286
224,0.734604299,97.545,1.277956008
225,0.729127944,97.546,1.277527332
226,0.723724186,97.546,1.277438881
227,0.718375146,97.547,1.277351341
228,0.713074327,97.547,1.277264699
229,0.707813561,97.548,1.276848507
230,0.702599525,97.548,1.276765336
231,0.697432995,97.549,1.276683004
232,0.692314208,97.549,1.27674292
233,0.687248588,97.55,1.276661206
234,0.682228684,97.55,1.27729798
235,0.677223682,97.551,1.276881792
236,0.672268689,97.551,1.27714364
237,0.667332053,97.552,1.277402829
238,0.662438929,97.553,1.277469652
239,0.65757817,97.553,1.277726009
240,0.652759969,97.554,1.277326178
241,0.647991657,97.554,1.276920146
242,0.643273532,97.555,1.27717535
243,0.638597906,97.555,1.27678406
244,0.633972764,97.556,1.27609701
245,0.629393995,97.556,1.276022679
246,0.624858081,97.556,1.27594905
247,0.620365381,97.557,1.275571142
248,0.615889966,97.557,1.275500352
249,0.611456156,97.558,1.275128164
250,0.607065797,97.558,1.274749691
251,0.602698982,97.558,1.274094822
252,0.598353922,97.559,1.273734446
253,0.59404701,97.559,1.273673826
254,0.589783072,97.56,1.273318746
255,0.585563183,97.56,1.273260588
256,0.581386507,97.56,1.27351594
257,0.577253342,97.561,1.273457379
258,0.573160052,97.561,1.273504709
259,0.569102943,97.562,1.273156903
