Pre_RSRP,Post_RSRP,Delta_RSRP
-89.2519,-88.6952,0.556700000000006
-91.2336,-90.6492,0.584400000000002
-86.3716,-89.9141,-3.5425
-86.5036,-85.4228,1.08080000000001
-90.3711,-88.34,2.03109999999999
-88.9951,-84.5802,4.41489999999998
-85.8367,-86.2034,-0.366700000000008
-88.1382,-89.4094,-1.2712
-89.1957,-89.0785,0.117199999999996
-90.7842,-86.8886,3.8956
-89.8985,-88.3751,1.52339999999999
-88.2145,-86.2769,1.9376
-89.3313,-86.9962,2.33509999999999
-89.489,-90.2209,-0.731899999999996
-87.886,-87.5434,0.34259999999999
-86.5976,-84.3552,2.2424
-89.8091,-88.512,1.2971
-88.9952,-90.4116,-1.41640000000001
-88.64,-89.6329,-0.992900000000005
-90.2072,-88.7041,1.5031
-88.6906,-89.7157,-1.02509999999999
-92.1867,-88.8288,3.3579
-93.1689,-93.705,-0.536100000000004
-92.1946,-91.8021,0.392499999999998
-92.248,-91.9204,0.327600000000003
-92.2808,-94.0872,-1.80639999999999
-91.2794,-91.8687,-0.589300000000008
-91.5314,-91.8302,-0.298799999999999
-91.0526,-92.012,-0.959400000000002
-92.8886,-93.9272,-1.0386
-86.2409,-86.0223,0.218599999999995
-90.7653,-86.6708,4.09449999999999
-89.1244,-87.9983,1.12609999999999
-88.5071,-87.169,1.33809999999999
-87.3858,-87.121,0.264800000000008
-88.3481,-89.5693,-1.22119999999999
