Pre_RSRP,Post_RSRP,Delta_RSRP
-88.9228598537338,-82.2614660083245,6.66139384540927
-88.6228416162965,-85.326159056313,3.29668255998358
-89.9634927505358,-80.5065883163884,9.45690443414744
-90.7459687203871,-85.0519924248588,5.69397629552823
-90.4318758635326,-86.1202085458326,4.3116673177
-92.8757184052263,-86.7415094604438,6.13420894478244
-91.3851003329662,-85.2464971462088,6.13860318675742
-94.7485490141221,-89.1899089375518,5.55864007657031
-96.8371697438199,-89.1037772748479,7.73339246897198
-92.2817003288378,-88.2736933156799,4.00800701315793
-95.9268929299107,-90.1919693827051,5.73492354720559
-92.3422667671618,-84.9675380839454,7.3747286832164
-91.6640237638177,-83.4522514502726,8.21177231354516
-91.7519106249507,-87.4084075370153,4.34350308793543
-89.3171074649342,-87.1046755553654,2.21243190956886
-90.8406503241349,-81.0444957368541,9.79615458728078
-89.7529621054375,-87.6496729751401,2.10328913029735
-93.4089405076365,-83.041504344024,10.3674361636124
-90.100590941715,-82.7109073401881,7.38968360152692
-89.6588482697353,-81.3447562363329,8.31409203340243
-91.3931713791362,-84.0205637654908,7.37260761364545
-88.4134931744819,-87.0704330543102,1.34306012017169
-94.2709743327453,-87.5251662719411,6.74580806080412
-87.9525184514195,-84.2098415465937,3.74267690482584
-91.7024362864232,-89.267475419507,2.43496086691619
-91.1237983477996,-86.3669937206986,4.75680462710103
-89.8817491446665,-87.769859031328,2.11189011333841
-90.0919968256835,-87.6493416494638,2.44265517621964
-93.3811428605383,-86.9174464143659,6.46369644617242
-88.9744755717473,-85.589839643731,3.38463592801632
-92.6774883323882,-87.8072064084855,4.87028192390268
-90.1021933138859,-82.3733685802475,7.72882473363841
-92.879954972437,-89.3772497230064,3.50270524943063
-88.8604191434935,-85.660202084617,3.20021705887653
-92.2827203797929,-83.08407177493,9.19864860486296
-95.5825148757004,-89.531039425086,6.05147545061437
-91.7534433835574,-88.1607288743193,3.592714509238
-93.4418078837566,-87.5713787009081,5.87042918284849
-92.3223254543666,-85.4712277500228,6.85109770434374
-90.4716124693637,-82.7651028351747,7.70650963418901
-90.7071997498757,-87.6688348921729,3.03836485770278
-96.3963552385728,-89.687825723258,6.7085295153148
-94.1581867348435,-86.439822491272,7.71836424357148
-90.1800302349404,-85.0188176540436,5.16121258089681
-88.9796384602351,-85.701083759636,3.27855470059911
-88.991370806209,-85.0153860313398,3.97598477486917
-92.4646389347866,-85.8149112426023,6.6497276921843
-90.829864324016,-85.358719138349,5.47114518566692
-92.1273650734824,-84.8129838091983,7.31438126428409
-92.8985547605186,-87.5272944864716,5.37126027404694
-90.6342481033217,-81.9221826489941,8.71206545432755
-95.0533902403105,-84.5143175269737,10.5390727133367
-87.1363375629934,-86.377670859982,0.758666703011385
-86.5338407442263,-84.6197797051328,1.91406103909343
-85.7483982427024,-86.0830358269567,-0.33463758425438
-89.3007454249285,-89.4410190663248,-0.140273641396348
-89.9782263562059,-90.7247973974663,-0.746571041260438
-90.2112790962946,-90.3662143917812,-0.154935295486552
-88.7414811250296,-89.0721973851396,-0.330716260110023
-92.2992438251416,-93.2567474035706,-0.957503578429012
-88.1072293205357,-88.8526353541897,-0.745406033654063
-92.2129996940784,-92.5770038423867,-0.364004148308296
-88.7126511500988,-89.4518811194526,-0.7392299693538
-86.8424048210024,-87.9896862449238,-1.14728142392139
-87.8039818487614,-88.1999126805823,-0.395930831820905
-89.2459381563535,-89.3395255081694,-0.09358735181587
-87.5640015186413,-88.3182096355081,-0.754208116866777
-86.1411022687001,-87.0971219269865,-0.956019658286379
-90.486952674811,-91.1746478731005,-0.687695198289503
-90.4994129444054,-91.1871624016088,-0.687749457203381
-89.6648638236052,-89.8279281077294,-0.163064284124217
-88.8181879638424,-89.0256092275952,-0.207421263752806
-91.0190612378834,-82.3967067275046,8.62235451037881
-91.0606331496318,-82.3053318218034,8.75530132782839
-91.2467882386199,-82.6197609716125,8.62702726700739
-95.5943012140966,-85.0075100606321,10.5867911534644
-92.0175393824168,-82.5670057874476,9.45053359496927
-94.9640548257968,-81.8957268572875,13.0683279685092
-95.5307634213024,-82.0703744526242,13.4603889686782
-95.1575033890151,-85.2879847974128,9.86951859160231
-92.2834267535364,-81.3886484840508,10.8947782694855
-95.1137890107643,-84.2051698129429,10.9086191978214
-92.785912035101,-84.1639809662743,8.62193106882672
-94.7286005405527,-86.0991397925719,8.62946074798074
-90.7694326961015,-81.0671808166565,9.70225187944504
-94.0068148764022,-83.6826986756393,10.3241162007629
-92.5319378365114,-82.6488463484693,9.88309148804209
-95.9148154939119,-86.2009730093121,9.7138424845998
-91.825633233649,-78.5717962546075,13.2538369790415
-92.0660024667174,-82.3504711359108,9.71553133080657
-94.4162529090161,-85.7831083596133,8.63314454940284
-94.0520119105323,-83.4631791345073,10.588832776025
-92.5423193494551,-83.9109840403853,8.63133530906971
-90.5962072560329,-81.8216795054162,8.77452775061674
-91.915866245811,-82.0235336129511,9.89233263285989
-93.649416978179,-84.8803416284379,8.76907534974107
-93.0038587233468,-84.2314697695935,8.7723889537532
-94.1867085405064,-83.38184029115,10.8048682493563
-92.4227706144194,-83.6686301575896,8.75414045682977
-93.0683294274167,-82.286917279926,10.7814121474907
-94.667326051728,-83.8376191106664,10.8297069410615
-96.8525274357895,-88.0868934063389,8.76563402945063
-94.0378785814038,-85.2599528289901,8.77792575241377
-93.9556600145494,-83.1454792470032,10.8101807675461
-93.1515064818531,-83.2755629837097,9.8759434981434
-93.0931926895151,-83.2053439710816,9.88784871843347
-93.9885441276043,-83.4206814715667,10.5678626560375
-95.136007422314,-81.3240522953313,13.8119551269827
-96.1013816344033,-82.8161792582563,13.285202376147
-89.5909430354303,-80.1389148401077,9.45202819532256
-93.4295780856106,-83.0888896807818,10.3406884048287
-91.862622961883,-82.1492402731359,9.71338268874713
-92.5948749072986,-82.2676106117826,10.327264295516
-92.0374210856618,-83.409036781939,8.62838430372279
-90.3300866925841,-79.9838672344043,10.3462194581798
-94.2109473446341,-84.3054113545729,9.90553599006118
-92.3497616106045,-83.722680443664,8.62708116694044
-92.6971720846044,-84.0999337938472,8.59723829075719
-92.2982605474783,-83.9270807067697,8.37117984070855
-89.6796995408966,-81.306664235999,8.37303530489759
-96.7353519109526,-88.3079320566668,8.4274198542858
-90.1021098252769,-81.7390798685552,8.36302995672166
