order_mode,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
random_per_cloud_epoch_order,43,last_10pct,throughput_mbps,1252.2126575269442,Mbps,A_throughput,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_10pct,qos_satisfaction,0.5603799999999999,ratio,B_qos,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_10pct,jain_fairness,0.7816722998009656,ratio,C_jain,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_10pct,switch_ratio,0.5933900000000001,ratio,D_switch_ratio,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_1000,reward_sum,2.519411474540159,scalar,supp_reward,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_1000,throughput_mbps,1252.2126575269442,Mbps,A_throughput,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_1000,qos_satisfaction,0.5603799999999999,ratio,B_qos,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_1000,jain_fairness,0.7816722998009656,ratio,C_jain,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,43,last_1000,switch_ratio,0.5933900000000001,ratio,D_switch_ratio,hmadqn_k3_sdm_random_order_seed43,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_10pct,reward_sum,2.5073480681145757,scalar,supp_reward,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_10pct,throughput_mbps,1171.7026393547658,Mbps,A_throughput,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_10pct,qos_satisfaction,0.5816566666666666,ratio,B_qos,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_10pct,jain_fairness,0.8084311569660586,ratio,C_jain,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_10pct,switch_ratio,0.57063,ratio,D_switch_ratio,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_1000,reward_sum,2.5073480681145757,scalar,supp_reward,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_1000,throughput_mbps,1171.7026393547658,Mbps,A_throughput,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_1000,qos_satisfaction,0.5816566666666666,ratio,B_qos,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_1000,jain_fairness,0.8084311569660586,ratio,C_jain,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
random_per_cloud_epoch_order,44,last_1000,switch_ratio,0.57063,ratio,D_switch_ratio,hmadqn_k3_sdm_random_order_seed44,fixed-order rows reuse Group 1 H-MADQN where available; random-order rows change only SDM processing order
