scenario_type,N_UE,distribution,method,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_10pct,reward_sum,3.4046571111401382,unitless,supp_reward,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_10pct,throughput_mbps,1398.624794996872,Mbps,A_throughput,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_10pct,qos_satisfaction,0.7235600000000001,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_10pct,jain_fairness,0.9807820302053654,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_10pct,switch_ratio,0.00302,ratio,C_switch_ratio,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_1000,reward_sum,3.4046571111401382,unitless,supp_reward,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_1000,throughput_mbps,1398.624794996872,Mbps,A_throughput,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_1000,qos_satisfaction,0.7235600000000001,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_1000,jain_fairness,0.9807820302053654,ratio,B_qos_fairness,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,greedy_rsrp_capacity,42,last_1000,switch_ratio,0.00302,ratio,C_switch_ratio,greedy_rsrp_capacity_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
